SpeciesName,AntherSize,CalyxSize,CorollaSize,DiskFloretSize,FlowerSize,FruitSize,Glumes,InflorescenceSize,LeafSize,Lemma,LobesSize,Lodicules,OvarySize,Palea,PappusSize,PedicelSize,PetalSize,PetioleSize,RayFloretsSize,SeedSize,SepalSize,StamenSize,Stature,StigmaSize,StyleSize,TubeSize,UtricleSize
carex-maorica,,,,,,1.5mm,,20-60x7-12mm,1m; 2-7mm,,,,,,,,,,,,,,,,,,1-2mm; 1-3mm; 6mm; 4.0-5.5x1.0-1.5mm; 1.5-2.0mm
carex-megalepis,,,,,,,,70-160x6-10mm; 0.5-4.0mm,3-5mm,,,,,,,,,,,,,,,,,,1.5mm; 1mm; 1.5-2.0mm
carex-minor,,,,,,,,20-50x2-3mm; 4mm; 1.5-2.0mm,0.5mm; 1.5mm,,,,,,,,,,,,,,,,,,1mm; 1.0-1.5mm; 1mm
carex-muelleri,,,,,,2mm,,15-40x4mm,80-350x0.5-15mm,,,,,,,,,,,,,,,,,,3.5-4.5x1-1.2mm
carex-obtusifolia,,,,,1.5-3.0mm,3.0-3.9x0.8-1.1mm,,15-20mm,50-400x0.3-0.6mm; 45-300x0.4-0.5mm,,,,,,,,,,,,,,,,,,3.5-5.0x1.5-2.0mm; 5.0-6.2x0.9-1.1mm; 5.3-6.5mm
carex-ochrosaccus,,,,,,1.5mm,,15-60x5-7mm,3-4mm,,,,,,,,,,,,,,0.45-1.00m,,,,1.0mm; 0.5mm
carex-ophiolithica,,,,,,2.4-2.5x1.1-1.3mm,1.5-2x1.4-2mm,10-40x3-4mm,200-600x1.8-3.2mm,,,,,,,,,,,,,,,,,,3-4x1.4-1.5mm
carex-parvispica,,,,,,,,10-20x4-7mm,1.5-4mm,,,,,,,,,,,,,,,,,,4.5-6x1.5-2mm; 0.5mm
carex-penalpina,,,,,,,,20-75x3-7mm; 6mm; 2-3mm,1.5-5.0mm,,,,,,,,,,,,,,,,,,5.0-7.5x1.5-2.0mm; 1.5-2.0mm; 1-2mm
carex-perplexa,,,,3.5mm,,2.2-2.4x1-1.2mm,3.5-4x1mm; 3.5-4x1-1.2mm,55mm; 2-3mm; 0.6mm,30mm; 200-550x2-5mm; 15-95x0.2-1.2mm,,,,,,,,,,3.5mm,,,,,,,,4.2-4.3x1.2-1.3mm
carex-petriei,,,,,,1.5mm,,1-30x3-6mm,0.5-2mm,,,,,,,,,,,,,,,,,,2.5x1.5mm
carex-pleiostachys,,,,,,2mm,,10-20x4-7mm,1-1.5mm,,,,,,,,,,,,,,,,,,3-4x1mm
carex-potens,,,,,,,,50-140mm; 11mm; 3-6mm,1.5-2.0mm,,,,,,,,,,,,,,,,,,1mm; 1.5-2.0mm; 2mm
carex-pterocarpa,,,,,,1.5mm,,7x7mm; 4-6mm,20-60x1-3mm,,,,,,,,,,,,,,20-50mm,,,,3x2mm
carex-pumila,,,,,,2.5-4.0x1.5-2.5mm,,10mm,400mm; 1.5-0mm,,,,,,,,,,,,,,,,,,6.0-7.5x2.0-3.5mm; 1.5-2.0mm
carex-punicea,,,,,,,,25-70x3-5mm; 10mm; 3-6mm,0.7-2.5mm,,,,,,,,,,,,,,,,,,5.0-6.5mm; 1.0-1.5mm; 1.0-1.5mm
carex-purpurata,,,,,,,,25-40x3-4mm; 5mm; 1.5mm,1-2mm,,,,,,,,,,,,,,,,,,1-2mm; 1-1.5mm; 1mm
carex-pyrenaica,,,,,,,,,,,,,,,,,,,,,,,,,,,
carex-raoulii,,,,,,1.5mm,,3m; 1-4cmx4-7mm,2-4mm,,,,,,,,,,,,,,,,,,2-3x1.5mm
carex-resectans,,,,,,1.5mm,,4-8mm,0.5mm,,,,,,,,,,,,,,5-40mm,,,,3-4x1.5-2.0mm
carex-rubicunda,,,,,,1mm,,10-15mm; 5-10x3mm,30-300x0.5-1mm,,,,,,,,,,,,,,,,,,1.5-2x1mm; 0.3mm
carex-secta,,,,,,,,0.45-1m,1.5-7mm,,,,,,,,,,,,,,,,,,
carex-sectoides,,,,,,2mm,,70-80mm; 40mm,5-8mm,,,,,,,,,,,,,,2x1m; 1m,,,,2.5-3.8x1-1.8mm
carex-silvestris,,,,,3-5mm; 1-2mm,,,35-100x2-3mm,0.5-2.0mm,,,,,,,,,,,,,,,,,,3.5-5.0mm; 1mm; 1mm; 1.0-1.5mm
carex-sinclairii,,,,,,1.5-2.0mm,,15-35x3-5mm,2-4mm,,,,,,,,,,,,,,,,,,1mm; 2.5mm; 1.5mm
carex-solandri,,,,,,1mm,,10-50mm; 3-4mm,1.5-6.5mm,,,,,,,,,,,,,,,,,,2-3mm; 1mm
carex-spinirostris,,,,,,2mm,,15-85x3-4mm,2.5-6mm,,,,,,,,,,,,,,,,,,3-4x1mm; 1.5mm
carex-strictissima,,,,,,,,30-100mm; 14mm; 3mm,1-2mm,,,,,,,,,,,,,,,,,,6-7.5x2mm; 15mm
carex-subdola,,,,,,1.5-2mm,,30-75x4-7mm,2-4mm,,,,,,,,,,,,,,,,,,6mm; 3.0-4.5x2.0-2.5mm; 0.5mm
carex-subtilis,,,,,,,,15-30x2-4mm,1-2mm,,,,,,,,,,,,,,,,,,4-5x1-1.5mm; 1mm; 0.4-0.5mm
carex-subviridis,,,,,6-12mm; 2mm,,,40-140mm,1.5-3.0mm,,,,,,,,,,,,,,,,,,1.0mm; 1.5-2.0mm; 1.5-2.0mm
carex-tenuiculmis,,,,,,1.7-2mm,2.1-3x1.9-2.2mm,80-140mm; 1.5-15mm,250-800x2.4-3.2mm,,,,,,,,,,,,,,,,,,2.3-3.5x1.6-2.3mm
carex-ternaria,,,,,,1.5-2.0mm,,10-80m; 4-6mm; 5-8mm; 10mm,3.2m; 4-17mm,,,,,,,,,,,,,,3m; 0.3-3.0m; 3-5mm,,,,6mm; 2.0-3.0x1.5-2.0mm
carex-testacea,,,,,,1.5mm,,1mm; 5mm,2m; 1mm; 1.0-2.5mm,,,,,,,,,,,,,,,,,,2.5x1.5mm; 0.5mm; 0.5mm
carex-trachycarpa,,,,,,1.5mm,,10-15x7mm; 1-3m,2.5mm,,,,,,,,,,,,,,,,,,3x1mm
carex-traversii,,,,,,2mm,,3-6m; 1-2m; 5-10x5mm,0.5-1mm,,,,,,,,,,,,,,,,,,2.5-3x1mm
carex-trifida,,,,,,2mm,,6-15mm; 35-11x5-15mm,,,,,,,,,,,,,,,0.15-1.00m; 2-4mm,,,,2.0mm
carex-uncifolia,,,,,,1.5mm,3.5x1.5mm,,0.5mm,,,,,,,,,,,,,,,,,,2-3.5x1.5mm
carex-uncinata,,,,,,,,55-200x2.0-3.5mm; 0.5-1.5mm,2-5mm,,,,,,,,,,,,,,,,,,4-5mm; 1mm
carex-virgata,,,,,,1mm,,100-260mm; 4-6mm,,,,,,,,,,,,,,,0.5-1.2m; 1.5-4.5mm,,,,1.0mm
carex-wakatipu,,,,,,1.5mm,,5mm,2-4mm,,,,,,,,,,,,,,,,,,2.0mm
carex-zotovii,,,,,,,,40-80x3-6mm; 4-8mm; 0.5-1.0mm,2-5mm,,,,,,,,,,,,,,,,,,1.5mm; 1.0-1.5mm; 1-2mm
carpha-alpina,,,,,,2.5-3.0mm,,,50-300x0.5-2.0mm,,,,,,,,,,,,,,,,,,
cyperus-insularis,,,,,,1.6-1.7mm,3-5.8x2-2.8mm,40-60mm,1.4-3.2mmx1-2m; 0.3-3.2mmx0.1-1.15m,,,,,,,,,,,,,,2m,,,,
cyperus-ustulatus,,,,,,0.5mm,,40-140mm; 8-13mm,0.6-1.2m; 8-15mm,,,,,,,,,,35-70mm,,,,0.6-2.0m,,,,
eleocharis-acuta,,,,,,1.5x1.0mm,,,,,,,,,,,,,,,,,,,,,
eleocharis-gracilis,,,,,,1.5mm; 1mm,,,,,,,,,,,,,,,,,,,,,
eleocharis-neozelandica,,,,,,1.5-2x1mm,2.5-3.5mm,,,,,,,,,,,,,,,,,,,,
eleocharis-pusilla,,,,,,1.0x0.5mm,1.5-2.0mm,,,,,,,,,,,,,,,,,,,,
eleocharis-sphacelata,,,,,,2.0-2.5mm,6-8mm,,,,,,,,,,,,,,,,,,,,
ficinia-nodosa,,,,,,1mm; 1mm,,7-15mm,50-130mm,,,,,,,,,,,,,,,,,,
ficinia-spiralis,,,,,,2.5-4.0x2.0-2.5mm,,70-300mm,2-5mm,,,,,,,,,,,,,,0.3-1.2m; 2-4mm,,,,
fimbristylis-velata,,,,,,0.8-1x0.5-0.6mm,,10-40-80mm,,,,,,,,,,,,,,,,,,,
gahnia-lacera,,,,,,3.5-4.5mm; 2mm,,20-600x30-60mm; 20-160mm,380mm; 9mm,,,,,,,,,,,,,,,,,,
gahnia-pauciflora,,,,,,5.5-7.0x2.0-3.0mm,,,12mm; 0.45-1.20m; 200mm,,,,,,,,,,,,,,,,,,
gahnia-procera,,,,,,5.0-6.5x2.0-2.5mm,,200-600x25-50mm,1.2m,,,,,,,,,,,,,,,,,,
gahnia-rigida,,,,,,3.5-4.0x1.5-2.0mm,6-7mm,18-760x60mm; 250mm,3m,,,,,,,,,,,,,,0.6-2.2m,,,,
gahnia-setifolia,,,,,,3.5-4.5mm; 1.9-2mm,4mm,1m; 400mm; 6-7mm,,,,,,,,,,,,,,,3m,,,,
gahnia-xanthocarpa,,,,,,5-6x2-3mm,5-6mm,0.6-1.5m; 450mm,,,,,,,,,,,,,,,30mm; 3.5m,,,,
isolepis-aucklandica,,,,,,1-2mm; 0.5mm,1.5-2.5mm,1.0-4.0x0.5-2mm,0.5mm,,,,,,,,,,,,,,,,,,
isolepis-basilaris,,,,,,0.5x0.5mm,1-2mm,,5-60mm; 0.5mm,,,,,,,,,,,,,,10-100mm; 60mm,,,,
isolepis-caligenis,,,,,,1mm; 1mm,1.5-2.5mm; 3.5mm,,0.5mm,,,,,,,,,,,,,,,,,,
isolepis-cernua,,,,,,,,,,,,,,,,,,,,,,,,,,,
isolepis-crassiuscula,,,,,,1.5x1mm,2-4mm,,40-60x1-1.5mm; 6mm,,,,,,,,,,,,,,,,,,
isolepis-distigmatosa,,,,,,1mm; 0.5mm,2mm,,,,,,,,,,,,,,,,,,,,
isolepis-habra,,,,,,1.0-1.4x0-6-0-8mm,1.2-1.8mm,,,,,,,,,,,,,,,,,,,,
isolepis-inundata,,,,,,1.0x0.5mm,1.5-2.0mm,,1mm,,,,,,,,,,,,,,,,,,
isolepis-lenticularis,,,,,,,1.5-3.4x0.5-1.3mm,0.2-1.1mm; 10-190mm; 0.2-0.9mm,3-25x0.3-1.7mm; 2-80x0.2-1.1mm,,,,,,,,,,,,,,,,,,
isolepis-pottsii,,,,,,1mm,1.5mm,,0.5mm,,,,,,,,,,,,,,,,,,
isolepis-praetextata,,,,,,1.0x0.5mm,2.0-2-5mm,4-5mm; 5-9mm; 10cm,,,,,,,,,,,,,,,,,,,
isolepis-prolifera,,,,,,1.0x0.5mm,1.0mm,20-70mm,,,,,,,,,,,,,,,,,,,
isolepis-reticularis,,,,,,1.0x0.5mm,2mm,,10-15mm; 0.3-0.5mm,,,,,,,,,,,,,,,,,,
isolepis-subtilissima,,,,,,1mm,1mm,30mm,0.5mm,,,,,,,,,,,,,,,,,,
lepidosperma-australe,,,,,,4mm,,10-40x5-15mm; 15mm,50-350mm,,,,,,,,,,,,,,2m; 0.2-2.0m; 1.0-2.5mm,,,,
lepidosperma-laterale,,,,,,2.5-3.5x1.5-2.0mm,,100-400mm,3-5mm; 20-60mm,,,,,,,,,,,,,,0.5-2.0m; 4-7mm,,,,
lepidosperma-neozelandicum,,,,,,4x1.5mm,,30-90mm,5-20mm,,,,,,,,,,,,,,2m; 0.5-2.0m; 1-2mm,,,,
machaerina-arthrophylla,,,,,,1mm,,100-400mm; 1mm; 0.5mm,,,,,,,,,,,,,,,0.5-1.3m; 1-2mm,,,,
machaerina-articulata,,,,,,2.0x1.5mm,,120-300mm,,,,,,,,,,,,,,,0.8-2.0m; 4-6mm,,,,
machaerina-complanata,,,,,,4x2mm,,0.15-0.50m,4-8mm,,,,,,,,,,,,,,05-0.9m; 3mm,,,,
machaerina-juncea,,,,,,1.5mm,,25-100mm,5mm,,,,,,,,,,,,,,1.0-3.5mm,,,,
machaerina-rubiginosa,,,,,,1.5mm,,60-350mm; 1mm,,,,,,,,,,,,,,,0.3-1.2m; 1.0-2.5mm,,,,
machaerina-sinclairii,,,,,,2.0-2.5mm; 1mm,,150-480mm,0.3-2.5m; 10-35mm; 30mm,,,,,,,,,,,,,,,,,,
machaerina-tenax,,,,,,2.5x1.5mm; 1mm,,50-250mm,,,,,,,,,,,,,,,0.15-1.65m; 0.5-1.5mm,,,,
machaerina-teretifolia,,,,,,1mm,,40-180mm,,,,,,,,,,,,,,,0.3-1.1m; 1.5-4.0mm,,,,
morelotia-affinis,,,,,,2.5-3.0x1.5mm,,60-300mm,200-620x4-8mm,,,,,,,,,,,,,,200-700mm,,,,
oreobolus-impar,,,,,,1mm; 1mm,,,0.5-1.0mm,,,,,,,,,,,,,,,,,,
oreobolus-pectinatus,,,,,,1mm; 1mm,,,0.5-1.0mm,,,,,,,,,,,,,,,,,,
oreobolus-strictus,,,,,,1.5x1.0mm,,,0.5mm,,,,,,,,,,,,,,,,,,
schoenoplectus-pungens,,,,,,3x2mm,,,1-3mm,,,,,,,,,,,,,,,,,,
schoenoplectus-tabernaemontani,,,,,,,,10-60mm,350mm,,,,,,,,,,,,,,,,,,
schoenus-apogon,,,,,,1.0x0.5mm,,,40-200mm,,,,,,,,,,,,,,,,,,
schoenus-brevifolius,,,,,,1.5x1mm,,80-300mm,,,,,,,,,,,,,,,1m,,,,
schoenus-carsei,,,,,,2x1mm,,80-150mm,,,,,,,,,,,,,,,,,,,
schoenus-concinnus,,,,,,1.5-2.0mm,,,,,,,,,,,,,,,,,,,,,
schoenus-fluitans,,,,,,2x1mm,,,20-100mm; 7-12mm,,,,,,,,,,,,,,,,,,
schoenus-maschalinus,,,,,,1mm,,,10.0-35.0x0.5-1.0mm; 2-3mm,,,,,,,,,,,,,,,,,,
schoenus-nitens,,,,,,1.5mm,,,,,,,,,,,,,,,,,,,,,
schoenus-pauciflorus,,,,,,2.0-2.5mm; 1mm,,15-30mm,40-140mm,,,,,,,,,,,,,,1m; 0.1-1.0m; 0.5-1.8mm,,,,
schoenus-tendo,,,,,,1.5x1.0mm,,15-120mm; 0.5-1.5mm,,,,,,,,,,,,,,,1m,,,,
scirpus-polystachyus,,,,,,0.7mm,1.5mm,,0.4-0.8mx5-8mm,,,,,,,,,,,,,,1.8m,,,,
tetraria-capillaris,,,,,,1.5x1-1.2mm,,15-30mm,5mm,,,,,,,,,,,,,,0.15-1.20m; 0.5mm,,,,
drosera-arcturi,,,,,,,,,,,,,,,,,,,,,,,,,,,
drosera-auriculata,,,,,,,,,1.8-3.5x2-6mm; 1.5-5.5x2.0-5.5mm,,,,,,,1-14mm,3.0-10.0x1.5-5mm,5.0-17.0x1.2mm; 3-23mm,,0.8-1.6mm,2.0-6.0x0.9-2.6mm,,,,0.6-1.4mm,,
drosera-binata,,,,,,,,,,,,,,,,,,,,,,,,,,,
drosera-hookeri,,,,,,,,,,,,,,,,,,,,,,,,,,,
drosera-pygmaea,,,,,3mm,1.6x1.4mm,,,1.5-2.0x2.0-2.6mm; 1.5-2.8mm,,,,,,,,1.5-1.8x1.2-1.4mm,3-6x0.4-0.5mm,,0.4x0.25mm,1.0-0.6mm,0.6-0.8mm,,,,,
drosera-spatulata,,,,,,,,,,,,,,,,,,,,,,,,,,,
drosera-stenopetala,,,,,,,,,,,,,,,,,,,,,,,,,,,
aristotelia-fruticosa,,,,,,3-4mm,,2-3mm,5-7x4-5mm; 15x9mm,,,,,,,1-2mm,,2mm,,2.0-2.6mm,,,2m,,,,
aristotelia-serrata,,,,,,5x4mm,,4-6mm; 6-10cm,5-12x4-8cm,,,,,,,5-10mm,9mm,50mm,,1.9-3.1mm,3mm,,10m,,,,
elaeocarpus-dentatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
elaeocarpus-hookerianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
elatine-gratioloides,,,,,,,,,,,,,,,,,,,,,,,,,,,
acrothamnus-colensoi,0.4-0.6mm,,,,6-8mm,4-5mm,,,5-10x1-4mm,,2.8-3.3mm,,0.5-1.0x0.5-0.8mm,,,,,,,2.5-3.5x2.2-3.0mm,4mm,,0.2-0.5x1.0-2.0m,0.1mm,0.8-1.8mm,4-5mm; 0.3-0.5mm,
androstoma-empetrifolium,0.3-0.5mm,1.1-1.6mm,,,,2.0-3.0x1.5-2mm,,,2.3-4.8x0.6-1.1mm,,,,0.5-1.0x0.5-0.8mm,,,0.4-1mm,,0.5-0.9mm,,1.6-2.3x1.6-2.1mm,1.3-1.9x0.8-1.1mm,0.3-0.5mm,1.0x0.2m; 0.2-0.4mm,0.1mm,0.5-0.8mm,1.0-1.5mm,
archeria-racemosa,,,,,,,,,,,,,,,,,,,,,,,,,,,
archeria-traversii,,,,,,,,,,,,,,,,,,,,,,,,,,,
dracophyllum-acerosum,0.8-1.0mm,,,,,4.0-4.5x4.0-4.2mm,,,5-20x3.5-6.5mm; 30-190x0.7-1.5mm; 8.5-17.0x2.5-5.0mm,,,,2.2-3.0x1.3-1.7mm,,,,,,,1.45-1.5mm,8.0-13.0x2.0-2.5mm,,1-2m,,1.3-1.5mm,7.0-8.0x1.8-2.2mm; 1-3x1-2mm; 0.5-1.0mm,
dracophyllum-adamsii,,,,,,,,,,,,,,,,,,,,,,,,,,,
dracophyllum-arboreum,0.3-0.4mm,,,,5.5-9.0x2.5-3.0mm,1.2-1.5x1.0-1.5mm,,18-20x3-5mm,9.0-17.0x7.4-16.6mm; 100-220x10-18mm; 6-12x4-12mm; 25-90x1-2mm; 15-38mm,,2.0-2.4x1.0-2.0mm,,1.7-2.0x1.0-2.0mm,,,,,,,0.6-0.65mm,4.0-7.0x2.5-3.0mm,,4-18m,,2.0-2.5mm,4-5x2.5-3.0mm; 0.3-1.0mm,
dracophyllum-cockayneanum,0.7-0.8mm,,,,8.0-14.0x3-6mm,2.5-3.5x3-4mm,,15-30x1.5-2.0mm,15-20x12-14mm; 100-140x4-6mm; 12.0-18.3x9.0-13.0mm; 40.0-140.0x1.5-4.0mm; 30-70mm,,1.5-2.0x1.5-2.0mm,,1.5-2.0x1.2-2.0mm,,,1-3mm,,,,0.65-0.7mm,4.0-5.0x2.0-2.5mm,,3-12m,,1.5-2.0mm,4.0-6.0x3.0-3.5mm; 0.5-1.0mm,
dracophyllum-densum,1mm,,,,3.5-7.0x2-3mm,1.3-2.0x1-2mm,,,2-5x2-4mm; 6-22x0.7-1.0mm,,,,1-2x1.0-1.4mm,,,,,,,0.45-0.5mm,3.5-5.7x1.5-2.0mm,,0.3-0.5m,,1.5-1.55mm,3.5-5.0x1.0-1.5mm; 1.5-2.0x1.0-1.3mm; 0.5-0.55mm,
dracophyllum-elegantissimum,0.9-1.3mm,,,,2.0-8.0x0.5-1.5mm,1.2-1.5x1.5-1.8mm,,10.6-14.0mm; 38-42mm; 270-610x30-45mm,22-58x13-43mm; 330-1000x10-20mm; 190-320mm,,,,1.0-1.5x1.3-1.5mm,,,0.5-2.0mm,,,,0.7-0.8mm,1-2x1.0-1.5mm,0.3-0.5mm,5-14m,,1.5-1.7mm,1.0-2.0x1.3-2.0mm; 1.2-1.4x1.0-1.3mm,
dracophyllum-filifolium,1mm,,,,5.6-13.0x3.0-4.0mm,2.0-2.5x2.0-2.2mm,,8.5-17x2-4mm,6.0-16.0x3.0-5.5mm; 40.0-200.0x0.7-1.5mm; 20-30mm,,1.5-2.0x1.5-1.6mm,,1.5-2.0x1.0-1.5mm,,,,,,,0.8-1.2mm,4.0-6.0x1.5-1.7mm,,1-4m,,1-2mm,3.5-6.0x1.8-2.5mm; 0.2-0.3mm,
dracophyllum-fiordense,1.5-2.0mm,,,,,2.0-2.8x2.5-4.0mm,,5.6-7.7mm; 20-50mm; 40-51x18-21mm,60-87x30-43mm; 400-700x40-50mm; 100-150mm,,,,0.9-1.0x1.3-1.5mm,,,4.5-5.0x0.8-1.0mm; 0.8-1.5mm,,,,0.55-0.6mm,2.0-2.5x2.0-3.0mm,2.3-2.5mm,1.5-5.0m,,1.8-2.0mm,1.5-2.0x1.3-1.5mm,
dracophyllum-kirkii,0.8-1.2mm,,,,,2.7-3.0x2.3-2.5mm,,8.0-20.0x2.0-2.6mm,9.3-7.5x5.4-8.0mm; 42.0-60.0x4.0-4.7mm; 4.0-10.0x3.5-9.0mm; 16.0-70.0x1.5-4.0mm,,1.8-2.0x1.0-1.5mm,,1.8-2.0x1.5-2.0mm,,,,,,,0.95-1.0mm,6.5-7.0x2-3mm,,0.2-1.4m,,0.7-2.0mm,5.0-6.0x2.0-2.5mm; 0.4-0.6mm,
dracophyllum-latifolium,1.3-1.5mm,,,,,1-2x2-4mm,,15-20mm; 30-60mm; 105-210x20-35mm,30-65x18-55mm; 100-800x12-30mm; 100-400mm,,,,0.8-1.0x1.0-1.5mm,,,1.5-5.5x0.5-1.7mm; 1.0-2.5mm,,,,1.2-1.3mm,0.7-1.5x1.0-1.7mm,,3-10m,,1.0-1.7mm,1.5-2.0x1.5-2.5mm; 1.0-1.2mm,
dracophyllum-lessonianum,0.9-1.0mm,,,,8.0-12.5x0.5-0.7mm; 2.5-3.0x1.0-1.5mm,4.0-4.5x1.7-2.0mm,,6.0-17.5x0.6-3.3mm,8.0-17.0x3.7-5.0mm; 60.0-120.0x1.6-1.8mm; 6.0-14x2-4mm; 20.0-108.0x0.5-1.2mm; 20-50mm,,,,1.3-1.5x1.2-1.3mm,,,,,,,1.0-1.2mm,6-8x1.5-2.0mm,,0.5-5m,,1.5-2.0mm,4.0-6.0x2.0-2.5mm; 0.3-0.5mm,
dracophyllum-longifolium,,,,,,,,,,,,,,,,,,,,,,,,,,,
dracophyllum-marmoricola,0.6-0.8mm,,,,5-7x3.0-4.5mm,2.5-3.5x1.8-2.0mm,,9-24mm; 7.5-10.5x0.6-1.4mm,5.6-32.0x0.75-2.00mm,,,,1.4-1.5x1.3-1.5mm,,,,,,,1mm,4.5-5.5x1.5-2.0mm,0.4-0.5mm,2-15cm,,1.5mm,4.0-6.5x2.0-2.5mm; 1.5-2.2x1.5-1.8mm,
dracophyllum-matthewsii,,,,,,,,,,,,,,,,,,,,,,,,,,,
dracophyllum-menziesii,1.3-1.5mm,,,,,1.5-2.5x2.5-5.0mm,,1.5-2.4mm; 11.0-12.4mm; 12.0-19.2x6.0-8.8mm,10.0-20x7.0-20.4mm; 90-220x9-17mm; 50-150mm,,,,,,,4-5x0.8-1.0mm; 1.5-5.5mm,,,,0.55-1.3mm,2.5-3.5x1.5-2.5mm,,0.5-1.0m,,2.5-3.5mm,4-7x3-5mm; 2.0-4.5x1.1-1.6mm; 0.5-1.2mm,
dracophyllum-muscoides,0.8-1.0mm,,,,,1.0-1.1x0.8-1.0mm,,3.3-3.5x1.5-2.0mm,1.5-3.0x1.5-3.0mm; 1.0-3.0x0.3-0.8mm; 10mm,,1.0-1.5x1.0-1.5mm,,1.4-1.5x1.3-1.4mm,,,,,,,0.5-0.6mm,1.5-4.5x1.5-2.0mm,,15-50mm,,0.8-1.0mm,2.0-2.5x1.5-3.5mm; 0.2-0.5mm,
dracophyllum-oliveri,0.6-0.8mm,,,,3.0-5.5x2.0-3.5mm,1.0-1.5x1.0-1.3mm,,0.6-20.0x0.8-1.2mm,6.0-9.0x3.0-3.5mm; 75-85x1.3-1.5mm; 3.5-9.0x3.0-5.0mm; 30-75x0.6-2.0mm; 17-24mm,,1.5-2.0x1.5-2.0mm,,1.4-1.5x1.3-1.5mm,,,0.3-0.5mm,,,,0.95-1.2mm,3.0-6.0x1.3-5.5mm,0.5-0.7mm,1-4m,,1.3-1.7mm,3.0-6.0x2.0-2.5mm,
dracophyllum-ophioliticum,1mm,,,,4.5-8.0x2.5-4.0mm,2.7-4.0x2.5-2.7mm,,13-28mm; 13.9-22.2x0.7-0.9mm,2-50x1.0-2.5mm,,,,1.5x1.5mm,,,1.5-2.0mm,,,,0.8-1.0mm,4-6x1.5-3.0mm,,0.3m; 1.0m; 2.0m,,1.5mm,5.5-6.5x2.0-2.5mm; 1.8-2.0x1.5-2.0mm; 0.5mm,
dracophyllum-palustre,0.7-0.9mm,,,,5.0-5.5x2.0-2.5mm,3.5-4.0x2.8-3.0mm,,4.0-4.5x1.5-2.0mm,2.5-6.0x2.2-4.0mm; 14.0-27.0x0.5-1.0mm,,1.6-3.0x1.3-2.2mm,,0.7-1.2x0.6-1.0mm,,,,,,,0.95-1.0mm,4.0-5.5x1-2mm,,0.2-1.0m,,1.0-1.2mm,3.5-5.0x2.0-2.2mm; 0.5-0.7mm,
dracophyllum-patens,,,,,,2mm,,,8-10x3-4mm; 35.0-40.0x6.0-6.5mm; 100m; 15mm,,,,,,,,,,,,,,1.2m,,2mm,4mm,
dracophyllum-pearsonii,0.8mm,,,,,1.0-1.5x1.0-1.2mm,,6.0-6.5x4-5mm,4-7x3-5mm; 19.0-32.0x0.8-1.5mm; 10mm; 12-20mm; 6.0-6.5x4-5mm,,1.9-2.0x1.4-1.5mm,,1.9-2.0x1.8-2.0mm,,,,,,,0.55-0.6mm,4.2-4.5x1.5-2.0mm,,0.3-0.5m,,0.8-1.0mm,4.2-4.5x1.8-2.0mm; 0.2-0.5mm,
dracophyllum-politum,0.9-1.0mm,,,,2.0-3.0x0.7-0.8mm,2.5-3.0x1.5-2.5mm,,,2.5-4.0x3.0-4.0mm; 3.5-17.2x0.7-1.5mm,,1.5-2.2x1.0-1.8mm,,1.2-1.8x1.2-1.3mm,,,,,,,0.68-0.7mm,4.8-5.0x1.8-2.0mm,,0.5m; 1m; 0.02-0.5m,,1.0-1.1mm,3.5-4.5x1.4-1.5mm; 0.5-1.0mm,
dracophyllum-pronum,0.8-1.0mm,,,,3.5-4.0x0.6-0.8mm,1.2-2.5x1.5-2.0mm,,3.2-4.1x0.6-0.8mm,0.7-4.0x1.0-3.0mm; 2.5-11.0x0.5-1.0mm,,1.0-2.0x1.0-2.0mm,,0.5-1.0x0.5-1.2mm,,,,,,,0.46-0.5mm,1.7-4.5x1.4-1.6mm,,10-250mm,,1.0-1.5mm,2.5-4.0x1.5-1.8mm; 0.5-1.0mm,
dracophyllum-prostratum,1.0-1.2mm,,,,,1.5-2.0x1.4-1.5mm,,3.6-3.8x1.8-2.0mm,1.5-3.0x2.0-3.0mm; 2.5-7.3x0.5-1.0mm,,1.5-2.0x1.5-2.0mm,,1.0-1.5x0.8-1.0mm,,,,,,,0.45-0.7mm,3.5-4.5x1.5-2.0mm,,10-100mm,,0.9-1.0mm,3.0-4.5x2.0-2.5mm; 0.2-0.3mm,
dracophyllum-pubescens,0.8-1.0mm,,,,9.5-13.0x1.0-2.5mm,1.5-2.0x1.5-2.0mm,,7.4-21.8x1.6-2.5mm,10-13x6-8mm; 60-80x5-7mm; 3.3-7.0x3.5-6.0mm; 14-65x2-6mm; 15-17mm,,1.5-2.0x1.5-2.0mm,,1.4-1.5mm,,,,,,,0.7-1.0mm,5.0-5.5x1.3-2.0mm,,0.5-0.8m,,1.5-2.0mm,5.0-6.0x1.6-2.0mm; 0.5-0.8mm,
dracophyllum-pyramidale,,,,,,,,,,,,,,,,,,,,,,,,,,,
dracophyllum-recurvum,0.8-1.2mm,,,,6.5-9.0x4.0-4.5mm,3.0-4.0x2.8-3.0mm,,10.0-17.0x1.2-1.7mm,4.0-6.0x3.0-6.5mm; 15-40x1-2mm; 12-25mm,,1.3-1.7x1.4-1.5mm,,1.5-2.0x1.9-2.0mm,,,,,,,0.8-0.9mm,4.8-6.0x1.5-2.0mm,,0.1-0.9m,,1.5-2.0mm,4.0-4.5x1.7-2.0mm; 0.19-0.2mm,
